"","param_vary","i_param_var","replicate","gamma","stairs2","beta","SR"
"450",3,5,29,NA,NA,NA,NA
"451",1,1,30,NA,NA,NA,NA
"452",1,2,30,NA,NA,NA,NA
"453",1,3,30,2.12207516787288,0.8,9.99967852144474,6
"454",1,4,30,NA,1,NA,2
"455",1,5,30,4.57539039418351,0.648758773246089,0.0600537109375,444
"456",2,1,30,NA,1,NA,2
"457",2,2,30,0.00801252385817507,0.611111111111111,-1.99999640168177,4
"458",2,3,30,0.52126057058987,0.833333333333333,9.99967852144474,8
"459",2,4,30,1.05966456136235,0.742424242424242,9.99967852144474,12
"460",2,5,30,0.328918721997216,0.518027210884354,-1.64394810143628,8
"461",3,1,30,-0.82122037999796,0.649528815103456,0.0282180786132812,5068
"462",3,2,30,1.58694425082213,0.665403612069272,0.439873046875,315
"463",3,3,30,-0.277576326659503,0.689240954240954,0.910966796875,38
"464",3,4,30,1.14544300641685,0.667505827505827,-0.561201171875,16
"465",3,5,30,NA,NA,NA,NA
"466",1,1,31,NA,NA,NA,NA
